# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Cinnyris_pulchellus
# Flight Category: generalist
#
# === Morphological Parameters ===
# Wing Length: 56.50 mm
# Secondary1: 46.00 mm
# Kipps Distance: 10.50 mm
# Hand-Wing Index: 18.50
# Tail Length: 65.40 mm
# Aspect Ratio: 1.228
# Pointedness Index: 0.1858
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1252
# Max Thickness Position: 0.3389
# Max Camber/Chord: 0.0582
# Max Camber Position: 0.3652
# Leading Edge Radius: 0.0350
# LE Droop: 0.0043
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01048611,0.06721667
UPPER,2,0.04194445,0.11638647
UPPER,3,0.08738427,0.14370583
UPPER,4,0.29484300,0.17590738
UPPER,5,0.33890000,0.18341937
UPPER,6,0.38295700,0.17089937
UPPER,7,0.38725500,0.13584337
UPPER,8,0.49520000,0.08454247
UPPER,9,0.88000000,0.03213936
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01048611,-0.04065445
LOWER,2,0.04194445,-0.01968722
LOWER,3,0.08738427,-0.04583509
LOWER,4,0.29484300,-0.04694863
LOWER,5,0.33890000,-0.06698063
LOWER,6,0.38295700,-0.03943663
LOWER,7,0.38725500,0.00313137
LOWER,8,0.49520000,0.01856801
LOWER,9,0.88000000,0.00954684
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
