# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Prionochilus_percussus
# Flight Category: hovering
#
# === Morphological Parameters ===
# Wing Length: 54.20 mm
# Secondary1: 43.20 mm
# Kipps Distance: 11.00 mm
# Hand-Wing Index: 20.00
# Tail Length: 30.20 mm
# Aspect Ratio: 1.255
# Pointedness Index: 0.2030
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1240
# Max Thickness Position: 0.3380
# Max Camber/Chord: 0.0580
# Max Camber Position: 0.3640
# Leading Edge Radius: 0.0345
# LE Droop: 0.0040
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01035294,0.06611767
UPPER,2,0.04141178,0.11530000
UPPER,3,0.08627454,0.14264000
UPPER,4,0.29406000,0.17456000
UPPER,5,0.33800000,0.18200000
UPPER,6,0.38194000,0.16960000
UPPER,7,0.38610000,0.13488000
UPPER,8,0.49400000,0.08402000
UPPER,9,0.88000000,0.03196000
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01035294,-0.04021178
LOWER,2,0.04141178,-0.01938000
LOWER,3,0.08627454,-0.04524000
LOWER,4,0.29406000,-0.04616000
LOWER,5,0.33800000,-0.06600000
LOWER,6,0.38194000,-0.03872000
LOWER,7,0.38610000,0.00344000
LOWER,8,0.49400000,0.01860000
LOWER,9,0.88000000,0.00954000
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
