# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Dacnis_viguieri
# Flight Category: hovering
#
# === Morphological Parameters ===
# Wing Length: 57.60 mm
# Secondary1: 44.20 mm
# Kipps Distance: 13.00 mm
# Hand-Wing Index: 22.70
# Tail Length: 38.60 mm
# Aspect Ratio: 1.303
# Pointedness Index: 0.2257
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1218
# Max Thickness Position: 0.3364
# Max Camber/Chord: 0.0576
# Max Camber Position: 0.3618
# Leading Edge Radius: 0.0338
# LE Droop: 0.0035
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01015434,0.06438603
UPPER,2,0.04061735,0.11332026
UPPER,3,0.08461949,0.14069543
UPPER,4,0.29265060,0.17210638
UPPER,5,0.33638000,0.17941678
UPPER,6,0.38010940,0.16723278
UPPER,7,0.38402100,0.13311758
UPPER,8,0.49184000,0.08305546
UPPER,9,0.88000000,0.03162637
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01015434,-0.03957935
LOWER,2,0.04061735,-0.01883693
LOWER,3,0.08461949,-0.04418188
LOWER,4,0.29265060,-0.04476883
LOWER,5,0.33638000,-0.06426323
LOWER,6,0.38010940,-0.03745843
LOWER,7,0.38402100,0.00396717
LOWER,8,0.49184000,0.01864000
LOWER,9,0.88000000,0.00952059
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
