# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Phylloscopus_ricketti
# Flight Category: hovering
#
# === Morphological Parameters ===
# Wing Length: 55.70 mm
# Secondary1: 45.40 mm
# Kipps Distance: 10.70 mm
# Hand-Wing Index: 19.00
# Tail Length: 40.00 mm
# Aspect Ratio: 1.227
# Pointedness Index: 0.1921
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1248
# Max Thickness Position: 0.3386
# Max Camber/Chord: 0.0581
# Max Camber Position: 0.3648
# Leading Edge Radius: 0.0348
# LE Droop: 0.0042
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01043889,0.06683332
UPPER,2,0.04175555,0.11602538
UPPER,3,0.08699073,0.14335170
UPPER,4,0.29458200,0.17545950
UPPER,5,0.33860000,0.18294750
UPPER,6,0.38261800,0.17046750
UPPER,7,0.38687000,0.13552350
UPPER,8,0.49480000,0.08436937
UPPER,9,0.88000000,0.03208005
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01043889,-0.04049555
LOWER,2,0.04175555,-0.01958438
LOWER,3,0.08699073,-0.04563615
LOWER,4,0.29458200,-0.04668450
LOWER,5,0.33860000,-0.06665250
LOWER,6,0.38261800,-0.03919650
LOWER,7,0.38687000,0.00323550
LOWER,8,0.49480000,0.01857945
LOWER,9,0.88000000,0.00954488
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
