# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Hedydipna_platura
# Flight Category: hovering
#
# === Morphological Parameters ===
# Wing Length: 55.20 mm
# Secondary1: 43.30 mm
# Kipps Distance: 11.70 mm
# Hand-Wing Index: 21.20
# Tail Length: 75.40 mm
# Aspect Ratio: 1.275
# Pointedness Index: 0.2120
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1230
# Max Thickness Position: 0.3373
# Max Camber/Chord: 0.0578
# Max Camber Position: 0.3630
# Leading Edge Radius: 0.0342
# LE Droop: 0.0038
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01027030,0.06538181
UPPER,2,0.04108121,0.11442394
UPPER,3,0.08558585,0.14177989
UPPER,4,0.29343360,0.17347400
UPPER,5,0.33728000,0.18085640
UPPER,6,0.38112640,0.16855240
UPPER,7,0.38517600,0.13410120
UPPER,8,0.49304000,0.08359514
UPPER,9,0.88000000,0.03181343
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01027030,-0.03995321
LOWER,2,0.04108121,-0.01913706
LOWER,3,0.08558585,-0.04476766
LOWER,4,0.29343360,-0.04553720
LOWER,5,0.33728000,-0.06522360
LOWER,6,0.38112640,-0.03815480
LOWER,7,0.38517600,0.00367880
LOWER,8,0.49304000,0.01862057
LOWER,9,0.88000000,0.00953250
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
