# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Diglossa_plumbea
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 55.20 mm
# Secondary1: 45.40 mm
# Kipps Distance: 9.30 mm
# Hand-Wing Index: 17.10
# Tail Length: 42.80 mm
# Aspect Ratio: 1.216
# Pointedness Index: 0.1685
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1263
# Max Thickness Position: 0.3397
# Max Camber/Chord: 0.0584
# Max Camber Position: 0.3663
# Leading Edge Radius: 0.0354
# LE Droop: 0.0046
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01061750,0.06828501
UPPER,2,0.04247000,0.11739188
UPPER,3,0.08847917,0.14469126
UPPER,4,0.29557380,0.17715477
UPPER,5,0.33974000,0.18473397
UPPER,6,0.38390620,0.17210198
UPPER,7,0.38833300,0.13673238
UPPER,8,0.49632000,0.08502148
UPPER,9,0.88000000,0.03230291
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01061750,-0.04109600
LOWER,2,0.04247000,-0.01997751
LOWER,3,0.08847917,-0.04639517
LOWER,4,0.29557380,-0.04769483
LOWER,5,0.33974000,-0.06790603
LOWER,6,0.38390620,-0.04011563
LOWER,7,0.38833300,0.00283317
LOWER,8,0.49632000,0.01853186
LOWER,9,0.88000000,0.00955069
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
