# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Myzornis_pyrrhoura
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 58.00 mm
# Secondary1: 48.50 mm
# Kipps Distance: 10.00 mm
# Hand-Wing Index: 17.10
# Tail Length: 46.60 mm
# Aspect Ratio: 1.196
# Pointedness Index: 0.1724
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1263
# Max Thickness Position: 0.3397
# Max Camber/Chord: 0.0584
# Max Camber Position: 0.3663
# Leading Edge Radius: 0.0353
# LE Droop: 0.0046
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01059743,0.06816458
UPPER,2,0.04238972,0.11739188
UPPER,3,0.08831191,0.14469126
UPPER,4,0.29557380,0.17715477
UPPER,5,0.33974000,0.18473397
UPPER,6,0.38390620,0.17210198
UPPER,7,0.38833300,0.13673238
UPPER,8,0.49632000,0.08502148
UPPER,9,0.88000000,0.03230291
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01059743,-0.04101572
LOWER,2,0.04238972,-0.01997751
LOWER,3,0.08831191,-0.04639517
LOWER,4,0.29557380,-0.04769483
LOWER,5,0.33974000,-0.06790603
LOWER,6,0.38390620,-0.04011563
LOWER,7,0.38833300,0.00283317
LOWER,8,0.49632000,0.01853186
LOWER,9,0.88000000,0.00955069
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
